postal_code,company_name,country,supplier_id,phone,contact_title,contact_name,fax,address,city,homepage,region
27478,Nord-Ost-Fisch Handelsgesellschaft mbH,Germany,13,(04721) 8713,Coordinator Foreign Markets,Sven Petersen,(04721) 8714,Frahmredder 112a,Cuxhaven,#CAJUN.HTM#,Québec
48100,Formaggi Fortini s.r.l.,Italy,14,(0544) 60323,Sales Representative,Elio Rossi,(0544) 60603,"Viale Dante, 75",Ravenna,#FORMAGGI.HTM#,Québec
1320,Norske Meierier,Norway,15,(0)2-953010,Marketing Manager,Beate Vileid,(02) 555-4873,Hatlevegen 5,Sandvika,#CAJUN.HTM#,Québec
97101,Bigfoot Breweries,USA,16,(503) 555-9931,Regional Account Rep.,Cheryl Saylor,(02) 555-4873,3400 - 8th Avenue Suite 210,Bend,#CAJUN.HTM#,OR
S-123 45,Svensk Sjöföda AB,Sweden,17,08-123 45 67,Sales Representative,Michael Björn,(02) 555-4873,Brovallavägen 231,Stockholm,#CAJUN.HTM#,Québec
75004,Aux joyeux ecclésiastiques,France,18,(1) 03.83.00.68,Sales Manager,Guylène Nodier,(1) 03.83.00.62,"203, Rue des Francs-Bourgeois",Paris,#CAJUN.HTM#,Québec
02134,New England Seafood Cannery,USA,19,(617) 555-3267,Wholesale Account Agent,Robb Merchant,(617) 555-3389,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,#CAJUN.HTM#,MA
0512,Leka Trading,Singapore,20,555-8787,Owner,Chandra Leka,(02) 555-4873,"471 Serangoon Loop, Suite #402",Singapore,#CAJUN.HTM#,Québec
2800,Lyngbysild,Denmark,21,43844108,Sales Manager,Niels Petersen,43844115,Lyngbysild Fiskebakken 10,Lyngby,#CAJUN.HTM#,Québec
9999 ZZ,Zaanse Snoepfabriek,Netherlands,22,(12345) 1212,Accounting Manager,Dirk Luchte,(12345) 1210,Verkoop Rijnweg 22,Zaandam,#CAJUN.HTM#,Québec
53120,Karkki Oy,Finland,23,(953) 10956,Product Manager,Anne Heikkonen,(02) 555-4873,Valtakatu 12,Lappeenranta,#CAJUN.HTM#,Québec
2042,"G'day, Mate",Australia,24,(02) 555-5914,Sales Representative,Wendy Mackenzie,(02) 555-4873,170 Prince Edward Parade Hunter's Hill,Sydney,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,NSW
H1J 1C3,Ma Maison,Canada,25,(514) 555-9022,Marketing Manager,Jean-Guy Lauzon,(02) 555-4873,2960 Rue St. Laurent,Montréal,#CAJUN.HTM#,Québec
84100,Pasta Buttini s.r.l.,Italy,26,(089) 6547665,Order Administrator,Giovanni Giudici,(089) 6547667,"Via dei Gelsomini, 153",Salerno,#CAJUN.HTM#,Québec
71300,Escargots Nouveaux,France,27,85.57.00.07,Sales Manager,Marie Delamare,(02) 555-4873,"22, rue H. Voiron",Montceau,#CAJUN.HTM#,Québec
74000,Gai pâturage,France,28,38.76.98.06,Sales Representative,Eliane Noz,38.76.98.58,"Bat. B 3, rue des Alpes",Annecy,#CAJUN.HTM#,Québec
J2S 7S8,Forêts d'érables,Canada,29,(514) 555-2955,Accounting Manager,Chantal Goulet,(514) 555-2921,148 rue Chasseur,Ste-Hyacinthe,#CAJUN.HTM#,Québec
