company_name,country,supplier_id,phone,contact_title,contact_name,fax,address,city,homepage,postal_code,region
Leka Trading,Singapore,20,555-8787,Owner,Chandra Leka,(02) 555-4873,"471 Serangoon Loop, Suite #402",Singapore,#CAJUN.HTM#,0512,Québec
Lyngbysild,Denmark,21,43844108,Sales Manager,Niels Petersen,43844115,Lyngbysild Fiskebakken 10,Lyngby,#CAJUN.HTM#,2800,Québec
Zaanse Snoepfabriek,Netherlands,22,(12345) 1212,Accounting Manager,Dirk Luchte,(12345) 1210,Verkoop Rijnweg 22,Zaandam,#CAJUN.HTM#,9999 ZZ,Québec
Karkki Oy,Finland,23,(953) 10956,Product Manager,Anne Heikkonen,(02) 555-4873,Valtakatu 12,Lappeenranta,#CAJUN.HTM#,53120,Québec
"G'day, Mate",Australia,24,(02) 555-5914,Sales Representative,Wendy Mackenzie,(02) 555-4873,170 Prince Edward Parade Hunter's Hill,Sydney,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,2042,NSW
Ma Maison,Canada,25,(514) 555-9022,Marketing Manager,Jean-Guy Lauzon,(02) 555-4873,2960 Rue St. Laurent,Montréal,#CAJUN.HTM#,H1J 1C3,Québec
Pasta Buttini s.r.l.,Italy,26,(089) 6547665,Order Administrator,Giovanni Giudici,(089) 6547667,"Via dei Gelsomini, 153",Salerno,#CAJUN.HTM#,84100,Québec
Escargots Nouveaux,France,27,85.57.00.07,Sales Manager,Marie Delamare,(02) 555-4873,"22, rue H. Voiron",Montceau,#CAJUN.HTM#,71300,Québec
Gai pâturage,France,28,38.76.98.06,Sales Representative,Eliane Noz,38.76.98.58,"Bat. B 3, rue des Alpes",Annecy,#CAJUN.HTM#,74000,Québec
Forêts d'érables,Canada,29,(514) 555-2955,Accounting Manager,Chantal Goulet,(514) 555-2921,148 rue Chasseur,Ste-Hyacinthe,#CAJUN.HTM#,J2S 7S8,Québec
