address,company_name,country,phone,contact_title,contact_name,fax,city,postal_code,customer_id,region
87 Polk St. Suite 5,Let's Stop N Shop,USA,(415) 555-5938,Owner,Jaime Yorres,(02) 201 24 68,San Francisco,94117,LETSS,CA
Carrera 52 con Ave. Bolívar #65-98 Llano Largo,LILA-Supermercado,Venezuela,(9) 331-6954,Accounting Manager,Carlos González,(9) 331-7256,Barquisimeto,3508,LILAS,Lara
Ave. 5 de Mayo Porlamar,LINO-Delicateses,Venezuela,(8) 34-56-12,Owner,Felipe Izquierdo,(8) 34-93-93,I. de Margarita,4980,LINOD,Nueva Esparta
89 Chiaroscuro Rd.,Lonesome Pine Restaurant,USA,(503) 555-9573,Sales Manager,Fran Wilson,(503) 555-9646,Portland,97219,LONEP,OR
Via Ludovico il Moro 22,Magazzini Alimentari Riuniti,Italy,035-640230,Marketing Manager,Giovanni Rovelli,035-640231,Bergamo,24100,MAGAA,SP
Rue Joseph-Bens 532,Maison Dewey,Belgium,(02) 201 24 67,Sales Agent,Catherine Dewey,(02) 201 24 68,Bruxelles,B-1180,MAISD,SP
43 rue St. Laurent,Mère Paillarde,Canada,(514) 555-8054,Marketing Assistant,Jean Fresnière,(514) 555-8055,Montréal,H1J 1C3,MEREP,Québec
Heerstr. 22,Morgenstern Gesundkost,Germany,0342-023176,Marketing Assistant,Alexander Feuer,(02) 201 24 68,Leipzig,04179,MORGK,SP
South House 300 Queensbridge,North/South,UK,(171) 555-7733,Sales Associate,Simon Crowther,(171) 555-2530,London,SW7 1RZ,NORTS,SP
Ing. Gustavo Moncada 8585 Piso 20-A,Océano Atlántico Ltda.,Argentina,(1) 135-5333,Sales Agent,Yvonne Moncada,(1) 135-5535,Buenos Aires,1010,OCEAN,SP
2743 Bering St.,Old World Delicatessen,USA,(907) 555-7584,Sales Representative,Rene Phillips,(907) 555-2880,Anchorage,99508,OLDWO,AK
Mehrheimerstr. 369,Ottilies Käseladen,Germany,0221-0644327,Owner,Henriette Pfalzheim,0221-0765721,Köln,50739,OTTIK,SP
"265, boulevard Charonne",Paris spécialités,France,(1) 42.34.22.66,Owner,Marie Bertrand,(1) 42.34.22.77,Paris,75012,PARIS,SP
Calle Dr. Jorge Cash 321,Pericles Comidas clásicas,Mexico,(5) 552-3745,Sales Representative,Guillermo Fernández,(5) 545-3745,México D.F.,05033,PERIC,SP
Geislweg 14,Piccolo und mehr,Austria,6562-9722,Sales Manager,Georg Pipps,6562-9723,Salzburg,5020,PICCO,SP
Estrada da saúde n. 58,Princesa Isabel Vinhos,Portugal,(1) 356-5634,Sales Representative,Isabel de Castro,(02) 201 24 68,Lisboa,1756,PRINI,SP
"Rua da Panificadora, 12",Que Delícia,Brazil,(21) 555-4252,Accounting Manager,Bernardo Batista,(21) 555-4545,Rio de Janeiro,02389-673,QUEDE,RJ
"Alameda dos Canàrios, 891",Queen Cozinha,Brazil,(11) 555-1189,Marketing Assistant,Lúcia Carvalho,(02) 201 24 68,Sao Paulo,05487-020,QUEEN,SP
Taucherstraße 10,QUICK-Stop,Germany,0372-035188,Accounting Manager,Horst Kloss,(02) 201 24 68,Cunewalde,01307,QUICK,SP
Av. del Libertador 900,Rancho grande,Argentina,(1) 123-5555,Sales Representative,Sergio Gutiérrez,(1) 123-5556,Buenos Aires,1010,RANCH,SP
2817 Milton Dr.,Rattlesnake Canyon Grocery,USA,(505) 555-5939,Assistant Sales Representative,Paula Wilson,(505) 555-3620,Albuquerque,87110,RATTC,NM
Strada Provinciale 124,Reggiani Caseifici,Italy,0522-556721,Sales Associate,Maurizio Moroni,0522-556722,Reggio Emilia,42100,REGGC,SP
"Av. Copacabana, 267",Ricardo Adocicados,Brazil,(21) 555-3412,Assistant Sales Agent,Janete Limeira,(02) 201 24 68,Rio de Janeiro,02389-890,RICAR,RJ
Grenzacherweg 237,Richter Supermarkt,Switzerland,0897-034214,Sales Manager,Michael Holz,(02) 201 24 68,Genève,1203,RICSU,SP
"Gran Vía, 1",Romero y tomillo,Spain,(91) 745 6200,Accounting Manager,Alejandra Camino,(91) 745 6210,Madrid,28001,ROMEY,SP
Erling Skakkes gate 78,Santé Gourmet,Norway,07-98 92 35,Owner,Jonas Bergulfsen,07-98 92 47,Stavern,4110,SANTG,SP
187 Suffolk Ln.,Save-a-lot Markets,USA,(208) 555-8097,Sales Representative,Jose Pavarotti,(02) 201 24 68,Boise,83720,SAVEA,ID
90 Wadhurst Rd.,Seven Seas Imports,UK,(171) 555-1717,Sales Manager,Hari Kumar,(171) 555-5646,London,OX15 4NB,SEVES,SP
Vinbæltet 34,Simons bistro,Denmark,31 12 34 56,Owner,Jytte Petersen,31 13 35 57,Kobenhavn,1734,SIMOB,SP
"25, rue Lauriston",Spécialités du monde,France,(1) 47.55.60.10,Marketing Manager,Dominique Perrier,(1) 47.55.60.20,Paris,75016,SPECD,SP
P.O. Box 555,Split Rail Beer & Ale,USA,(307) 555-4680,Sales Manager,Art Braunschweiger,(307) 555-6525,Lander,82520,SPLIR,WY
"Boulevard Tirou, 255",Suprêmes délices,Belgium,(071) 23 67 22 20,Accounting Manager,Pascale Cartrain,(071) 23 67 22 21,Charleroi,B-6000,SUPRD,SP
89 Jefferson Way Suite 2,The Big Cheese,USA,(503) 555-3612,Marketing Manager,Liz Nixon,(02) 201 24 68,Portland,97201,THEBI,OR
55 Grizzly Peak Rd.,The Cracker Box,USA,(406) 555-5834,Marketing Assistant,Liu Wong,(406) 555-8083,Butte,59801,THECR,MT
Luisenstr. 48,Toms Spezialitäten,Germany,0251-031259,Marketing Manager,Karin Josephs,0251-035695,Münster,44087,TOMSP,SP
Avda. Azteca 123,Tortuga Restaurante,Mexico,(5) 555-2933,Owner,Miguel Angel Paolino,(02) 201 24 68,México D.F.,05033,TORTU,SP
"Av. Inês de Castro, 414",Tradição Hipermercados,Brazil,(11) 555-2167,Sales Representative,Anabela Domingues,(11) 555-2168,Sao Paulo,05634-030,TRADH,SP
722 DaVinci Blvd.,Trail's Head Gourmet Provisioners,USA,(206) 555-8257,Sales Associate,Helvetius Nagy,(206) 555-2174,Kirkland,98034,TRAIH,WA
Smagsloget 45,Vaffeljernet,Denmark,86 21 32 43,Sales Manager,Palle Ibsen,86 22 33 44,Århus,8200,VAFFE,SP
"2, rue du Commerce",Victuailles en stock,France,78.32.54.86,Sales Agent,Mary Saveley,78.32.54.87,Lyon,69004,VICTE,SP
59 rue de l'Abbaye,Vins et alcools Chevalier,France,26.47.15.10,Accounting Manager,Paul Henriot,26.47.15.11,Reims,51100,VINET,SP
Adenauerallee 900,Die Wandernde Kuh,Germany,0711-020361,Sales Representative,Rita Müller,0711-035428,Stuttgart,70563,WANDK,SP
Torikatu 38,Wartian Herkku,Finland,981-443655,Accounting Manager,Pirkko Koskitalo,981-443655,Oulu,90110,WARTH,SP
"Rua do Mercado, 12",Wellington Importadora,Brazil,(14) 555-8122,Sales Manager,Paula Parente,(02) 201 24 68,Resende,08737-363,WELLI,SP
305 - 14th Ave. S. Suite 3B,White Clover Markets,USA,(206) 555-4112,Owner,Karl Jablonski,(206) 555-4115,Seattle,98128,WHITC,WA
Keskuskatu 45,Wilman Kala,Finland,90-224 8858,Owner/Marketing Assistant,Matti Karttunen,90-224 8858,Helsinki,21240,WILMK,SP
ul. Filtrowa 68,Wolski  Zajazd,Poland,(26) 642-7012,Owner,Zbyszek Piestrzeniewicz,(26) 642-7012,Warszawa,01-012,WOLZA,SP
